Location,Area_sqft,BHK,Price_Lakhs
"Sunny Valley Apartments, Dwarka",1700.0,3,172.0
"Vasant Vihar Builder Floor, Vasant Vihar",1800.0,4,550.0
Vasant Kunj,1100.0,2,150.0
Greater Kailash 1,22050.0,4,510.0
Rohini Sector 24,1550.0,4,130.0
Greater Kailash 1,1600.0,3,300.0
"Khanpur, Madangir",700.0,2,24.0
"Batla House, Okhla",45.0,4,55.0
"Friends Colony West, New Friends Colony",3510.0,4,450.0
New Friends Colony,4500.0,4,600.0
New Friends Colony,1800.0,4,650.0
"Maharani Bagh, New Friends Colony",6000.0,5,2200.0
"New Friends Colony carpet area 4300 sqft status Ready to Move floor 2 out of 3 floors transaction Resale furnishing Unfurnished facing North - East overlooking Garden/Park, Main Road car parking 2 Covered, 2 Open bathroom 4 balcony 3 ownership Freehold hurry up... dont waste time any where, It is best deal in your pocket budget.well maintained second floor with terrace garden plus 2 additional room on terrace up for sale in new friends colony.the property has 4 king sized bedroom attached bathroom with roof top shower with Jacuzzi. It has 3 big balconies with wonderful outer view. It has modular kitchen with new fittings. It has servant quarter pooja room study room store room etc. It has drawing & dining. It has 2 car parking with gated society. It has 247 hours water supply with full power backup. It is in amazing location. read more Contact Agent View Phone No. Share Feedback Crisil Silver Agent Sagar Home Developers Pvt. Ltd. 1000+ Buyers Served",4300.0,4,600.0
"Friends Colony East, New Friends Colony",1700.0,3,385.0
"Maharani Bagh, New Friends Colony",2500.0,3,500.0
New Friends Colony,4500.0,4,750.0
"Friends Colony West, New Friends Colony",2450.0,4,700.0
"Maharani Bagh, New Friends Colony",10350.0,4,1600.0
"Maharani Bagh, New Friends Colony",4800.0,3,850.0
New Friends Colony,1600.0,3,400.0
New Friends Colony,3500.0,4,900.0
New Friends Colony,2100.0,4,560.0
"Friends Colony East, New Friends Colony",4200.0,5,1355.0
New Friends Colony,1500.0,3,600.0
"Maharani Bagh, New Friends Colony",8150.0,4,1700.0
"Kalindi Colony, Maharani Bagh, New Friends Colony",2200.0,4,500.0
New Friends Colony,3500.0,4,580.0
"Friends Colony East, New Friends Colony",2070.0,3,375.0
"Maharani Bagh, New Friends Colony",3500.0,3,450.0
New Friends Colony,2000.0,4,700.0
"Taimoor Enclave, New Friends Colony carpet area 2800 sqft status Ready to Move floor 2 out of 3 floors transaction Resale furnishing Semi-Furnished facing East overlooking Garden/Park society Taimoor Enclave car parking 2 Covered, 1 Open bathroom 4 balcony 2 ownership Freehold Two floor of the house is available for sale SECOND AND THIRD FLOOR EXTRA made, provision for LIFT can be provided by the OWNER .DDA FLATS of TAIMOOR ENCLAVE, NEAR GURUDWARA, NEW FRIENDS COLONY, SOUTH DELHI , HOUSE IS ON THE SECOND FLOOR have 3 bed room and 2 wash room and and same on the Third Floor, URGENT SALE, BROKER EXCUSE. read more Contact Agent View Phone No. Share Feedback Agent Delhi Homes 100+ Buyers Served",2800.0,6,295.0
New Friends Colony,2550.0,4,600.0
New Friends Colony,4500.0,4,700.0
New Friends Colony,1400.0,3,500.0
New Friends Colony,2800.0,4,750.0
"New Friends Colony Floors, New Friends Colony",2700.0,4,525.0
New Friends Colony,4500.0,4,550.0
"Maharani Bagh, New Friends Colony",7200.0,4,1200.0
"Kailash Colony, Greater Kailash",2799.0,4,650.0
"Kailash Colony, Greater Kailash",2650.0,4,750.0
"Kailash Colony, Greater Kailash",2200.0,4,475.0
"Kailash Colony, Greater Kailash",3500.0,5,700.0
"Kailash Colony, Greater Kailash",2200.0,4,475.0
"Kailash Colony, Greater Kailash",2200.0,4,400.0
"Kailash Colony, Greater Kailash",3500.0,4,850.0
"Kailash Colony, Greater Kailash",1440.0,3,260.0
"Kailash Colony, Greater Kailash",3150.0,4,350.0
"Kailash Colony, Greater Kailash",900.0,2,200.0
"Kailash Colony, Greater Kailash",3690.0,4,790.0
"Kailash Colony, Greater Kailash",1200.0,3,170.0
"Kailash Colony, Greater Kailash",4500.0,4,475.0
"Kailash Colony, Greater Kailash",2799.0,4,430.0
"Kailash Colony, Greater Kailash",1350.0,3,260.0
"Kailash Colony, Greater Kailash",1200.0,3,250.0
"Kailash Colony, Greater Kailash",2177.0,4,510.0
"Kailash Colony, Greater Kailash",1500.0,3,400.0
"Kailash Colony, Greater Kailash",1600.0,3,225.0
"Kailash Colony, Greater Kailash",4500.0,4,700.0
"Kailash Colony, Greater Kailash",2150.0,4,450.0
"Kailash Colony, Greater Kailash",2107.0,4,511.0
"Kailash Colony, Greater Kailash",1150.0,3,255.0
"Kailash Colony, Greater Kailash",1240.0,3,265.0
"Kailash Colony, Greater Kailash",1000.0,2,150.0
"Kailash Colony, Greater Kailash",4500.0,4,550.0
"Kailash Colony, Greater Kailash",1150.0,3,260.0
"Kailash Colony, Greater Kailash",2000.0,4,380.0
"Kailash Colony, Greater Kailash",4500.0,4,725.0
"Kailash Colony, Greater Kailash",3000.0,4,650.0
"Ram Nagar, Shahdara",700.0,2,46.0
"Jyoti Nagar West, Shahdara",750.0,2,92.0
"Hans Apartments, Vishwas Nagar, Shahdara",1350.0,4,95.0
"Naveen Shahdara, Shahdara",900.0,2,45.0
"Balbir Nagar, Shahdara",970.0,3,65.0
"Rohitash Nagar East, Shahdara",1000.0,3,56.5
"Naveen Shahdara, Shahdara",1425.0,3,93.0
Shahdara,440.0,2,27.0
"Vishwas Nagar, Shahdara",1017.0,2,65.0
"DDA RPS Flats, Mansarowar Park, Shahdara",650.0,2,58.0
Shahdara,950.0,3,55.0
"Yamuna Vihar, Shahdara",810.0,3,60.0
"Balbir Nagar, Shahdara",750.0,2,45.0
Shahdara,990.0,2,41.0
"Ram Nagar, Shahdara",800.0,3,38.0
Shahdara,675.0,2,33.0
"Rohtash Nagar, Shahdara",558.0,2,29.0
"Ram Nagar Extension, Shahdara",445.0,2,20.0
"Maujpur, Shahdara",360.0,2,15.5
"Mansarowar Park, Shahdara",1350.0,4,113.0
"Gorakh Park West, Shahdara",850.0,3,45.0
"Shivnam Apartment, Shahdara",846.0,2,33.0
"Mansarowar Park, Shahdara",1300.0,4,115.0
"Ram Nagar Extension, Shahdara",900.0,3,60.0
"Hans Apartments, Vishwas Nagar, Shahdara",1050.0,3,90.0
"Jyoti Colony, Shahdara",850.0,2,45.0
Shahdara,1650.0,4,140.0
"Ahinsha Vatika, Ram Nagar, Shahdara",1150.0,2,73.0
Shahdara,495.1394,1,19.0
"Naveen Shahdara, Shahdara",1053.0,3,70.0
"Yamuna Vihar, Shahdara",810.0,3,60.0
"Yamuna Vihar, Shahdara",750.0,1,64.0
"Yamuna Vihar, Shahdara",540.0,2,27.0
"Yamuna Vihar, Shahdara",747.0,2,65.0
"Yamuna Vihar, Shahdara",720.0,2,40.0
"Yamuna Vihar, Shahdara",376.7365,1,30.0
"Yamuna Vihar, Shahdara",1125.0,2,50.0
"Yamuna Vihar, Shahdara",713.0,2,60.0
"Yamuna Vihar, Shahdara",360.0,1,25.0
"Yamuna Vihar, Shahdara",900.0,2,65.0
"Yamuna Vihar, Shahdara",713.0,3,80.0
"Yamuna Vihar, Shahdara",504.0,2,27.0
"Yamuna Vihar, Shahdara",70.0,1,45.0
"Yamuna Vihar, Shahdara",850.0,3,57.0
"Yamuna Vihar, Shahdara",2430.0,4,250.0
"Yamuna Vihar, Shahdara",2475.0,3,700.0
"Yamuna Vihar, Shahdara",2970.0,7,265.0
"Yamuna Vihar, Shahdara",2250.0,3,185.0
"Yamuna Vihar, Shahdara",1500.0,5,300.0
"Yamuna Vihar, Shahdara",1512.0,2,220.0
"mind. The space is airy, is well located and can be easily customized as per the needs. Prime facilities are easily accessible from this place with Government Girls Senior Secondary School No 2 (0 km ). Other key neighbourhood are B Block Market (0 km ). read more Contact Owner View Phone No. Share Feedback Owner vinod kumar",400.0,2,90.0
"Yamuna Vihar, Shahdara",2160.0,3,650.0
"Yamuna Vihar, Shahdara",630.0,3,225.0
"Yamuna Vihar, Shahdara",324.0,6,87.0
"Yamuna Vihar, Shahdara",720.0,6,220.0
"Yamuna Vihar, Shahdara",675.0,4,185.0
"Yamuna Vihar, Shahdara",700.0,2,160.0
"Yamuna Vihar, Shahdara",675.0,4,160.0
"Yamuna Vihar, Shahdara",720.0,4,90.0
"Jyoti Colony, Shahdara",850.0,2,45.0
Laxmi Nagar,801.0,3,60.0
Laxmi Nagar,450.0,1,27.0
Laxmi Nagar,1000.0,3,65.0
Laxmi Nagar,990.0,3,40.0
Laxmi Nagar,420.0,2,26.0
Laxmi Nagar,450.0,2,35.0
Laxmi Nagar,1000.0,2,75.0
Laxmi Nagar,900.0,3,70.0
Laxmi Nagar,800.0,3,45.0
Laxmi Nagar,720.0,3,55.0
Laxmi Nagar,450.0,2,27.0
Laxmi Nagar,675.0,2,24.0
Laxmi Nagar,1700.0,4,115.0
"Guru Angad Nagar West, Laxmi Nagar",550.0,2,36.0
"Guru Angad Nagar West, Laxmi Nagar",387.0,1,17.0
"Lalita Park, Laxmi Nagar",450.0,2,25.0
Laxmi Nagar,900.0,4,66.0
Laxmi Nagar,500.0,2,37.0
"Krishan Kunj, Laxmi Nagar",441.0,2,35.0
"Lalita Park, Laxmi Nagar",800.0,3,54.0
"Laxmi Nagar super area 450 sqft status Ready to Move floor 3 out of 4 floors transaction New Property furnishing Semi-Furnished facing East overlooking Main Road bathroom 2 balcony 1 ownership Freehold Newly Constructed Property East Facing Property This Builder Floor Apartment at 3rd faces East & overlooks Main Road offering a beautiful view from the house. with airy interiors. The type of ownership is Freehold. The Builder Floor Apartment is newly constructed. Bank loans available from LIC Housing Finance, Kotak Mahindra Bank, Indiabulls. Flooring of type Marble covers maximum part of the house. The location has easy access to, Dena Bank (0 km ), Delhi Convent School (0 km ), DDA Market (0 km ) and Nirman Vihar Metro Station (2 km ). read more Contact Owner View Phone No. Share Feedback Owner Sonia",450.0,2,25.5
"Laxmi Nagar carpet area 1000 sqft status Ready to Move floor 1 out of 4 floors transaction Resale furnishing Furnished bathroom 3 balcony 1 It's a 1st floor Builder Floor Apartment in a building of total 4 floors. The age of construction for this Builder Floor Apartment is between 10 to 15 years. The location has easy access to, Dena Bank (0 km ), Delhi Convent School (0 km ), DDA Market (0 km ) and Nirman Vihar Metro Station (2 km ). read more Contact Owner View Phone No. Share Feedback Owner Vipul Jain",1000.0,3,125.0
Laxmi Nagar,715.0,2,56.0
Laxmi Nagar,600.0,2,70.0
Laxmi Nagar,540.0,2,35.0
"Bank Enclave, Laxmi Nagar",312.0,4,350.0
Laxmi Nagar,810.0,3,90.0
"Guru Angad Nagar West, Laxmi Nagar",270.0,1,23.0
Laxmi Nagar,900.0,3,60.0
Laxmi Nagar,1000.0,3,60.0
Uttam Nagar,540.0,2,26.5
"Uttam Nagar Floors, Uttam Nagar",950.0,3,43.7
"Virat Residency, Dwarka Mor",1000.0,3,46.2
"Adarsh Homes, Dwarka Mor",540.0,2,30.0
"Kushwaha Homes, Uttam Nagar",540.0,2,33.0
"Partap Homes, Bhagwati Vihar, Uttam Nagar",1000.0,3,55.1
Dwarka Mor,500.0,2,32.0
Uttam Nagar West,540.0,2,26.0
Uttam Nagar,780.0,3,40.0
Uttam Nagar West,450.0,2,18.5
Uttam Nagar,360.0,1,17.0
"SB Residency, Dwarka Mor",900.0,3,28.0
Uttam Nagar West,495.0,2,21.5
"SB Residency, Dwarka Mor",1200.0,4,68.0
Uttam Nagar,1000.0,3,62.0
